USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,station_code
038400,99999,DUNKESWELL AERODROME,UK,,,50.867,-3.233,253.0,1991-05-31 00:00:00,2024-07-02 00:00:00,03840099999
038530,99999,YEOVILTON,UK,,EGDY,51.009,-2.639,22.9,1973-01-01 00:00:00,2024-07-02 00:00:00,03853099999
038570,99999,ISLE OF PORTLAND,UK,,,50.517,-2.45,52.0,1973-08-09 00:00:00,2024-07-02 00:00:00,03857099999
038620,99999,BOURNEMOUTH,UK,,EGHH,50.78,-1.843,11.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03862099999
038650,99999,SOUTHAMPTON,UK,,EGHI,50.95,-1.357,13.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03865099999
038660,99999,WIGHT: ST. CATHERINES POINT,UK,,,50.583,-1.3,24.0,1973-01-01 00:00:00,2024-07-02 00:00:00,03866099999
038720,99999,THORNEY ISLAND,UK,,,50.817,-0.917,3.0,1984-07-03 00:00:00,2024-07-02 00:00:00,03872099999
038760,99999,SHOREHAM,UK,,EGKA,50.836,-0.297,2.1,1986-12-01 00:00:00,2024-07-02 00:00:00,03876099999
038820,99999,HERSTMONCEUX  WEST END,UK,,,50.9,0.317,52.0,1992-12-01 00:00:00,2024-07-02 00:00:00,03882099999
038873,99999,LYDD,UK,,EGMD,50.956,0.939,4.0,1988-01-05 00:00:00,2024-07-02 00:00:00,03887399999
038915,99999,ALDERNEY,UK,,EGJA,49.706,-2.215,88.4,1987-06-29 00:00:00,2024-07-02 00:00:00,03891599999
038940,99999,GUERNSEY,UK,,EGJB,49.435,-2.602,102.4,1929-10-01 00:00:00,2024-07-02 00:00:00,03894099999
038950,99999,JERSEY,UK,,EGJJ,49.208,-2.196,84.4,1973-01-01 00:00:00,2024-07-02 00:00:00,03895099999
038960,99999,ST. HELIER,UK,,,49.2,-2.1,54.0,1984-08-01 00:00:00,2024-07-02 00:00:00,03896099999
039010,99999,THOMASTOWN,UK,,,54.333,-7.6,72.0,2012-07-20 00:00:00,2024-07-02 00:00:00,03901099999
039040,99999,CASTLEDERG,UK,,,54.7,-7.583,50.0,1997-12-01 00:00:00,2024-07-02 00:00:00,03904099999
039070,99999,MAGILLIGAN NO 2,UK,,,55.15,-6.933,6.0,2011-09-01 00:00:00,2024-07-02 00:00:00,03907099999
039084,99999,LONDONDERRY EGLINTON,UK,,EGAE,55.043,-7.161,6.7,1990-04-24 00:00:00,2024-07-02 00:00:00,03908499999
039110,99999,LOUGH FEA,UK,,,54.717,-6.817,227.0,1994-10-03 00:00:00,2024-07-02 00:00:00,03911099999
039150,99999,PORTGLENONE,UK,,,54.867,-6.45,65.0,1973-03-08 00:00:00,2024-07-02 00:00:00,03915099999
039160,99999,BALLYPATRICK FOREST,UK,,,55.183,-6.167,156.0,1987-03-01 00:00:00,2024-07-02 00:00:00,03916099999
039170,99999,ALDERGROVE,UK,,EGAA,54.658,-6.216,81.7,1930-02-28 00:00:00,2024-07-02 00:00:00,03917099999
039230,99999,GLENANNE NO2,UK,,,54.233,-6.5,160.0,1985-02-07 00:00:00,2024-07-02 00:00:00,03923099999
039240,99999,CITY,UK,,EGAC,54.618,-5.873,4.6,1973-01-01 00:00:00,2024-07-02 00:00:00,03924099999
039270,99999,HELENS BAY,UK,,,54.669,-5.748,43.0,1992-03-01 00:00:00,2024-06-12 00:00:00,03927099999
749005,99999,TIBENHAM AIRFIELD,UK,,,52.457,1.162,52.0,1944-07-01 00:00:00,2024-07-02 00:00:00,74900599999
